Temp,SOC,Capacity
25,5,99.6
25,20,99.0
25,40,99.5
25,60,99.0
25,80,94.7
25,100,97.4
35,5,96.4
35,20,96.3
35,40,92.7
35,60,86.3
35,80,84.1
35,100,79.0
50,5,99.1
50,20,92.2
50,40,87.9
50,60,84.4
50,80,82.9
50,100,76.0
