Ion1/Ion3,Ion2/Ion3
29.7,9.8
26.8,23
35.3,27
30.3,31.7
34.9,49
41.8,52.8
39.8,24.5
36.9,38
39.4,35.6
43,28.7
44.7,21.5
59.9,24
55.2,28
66.9,25.8
45.8,41
47.6,44.2
56.1,44.7
59.1,45.6
55.9,50.2
53.4,55.4
66.7,70.1
56.7,61.6
60.4,64
68.1,37.9
78,36.8
70.5,56.5
69.3,61.3
60.8,67.1
73,59.2
79,54
79.4,70.3
84.3,53.5
87.6,73.5
71.4,75
89.3,68.5
94,82.2
