Time,Capacity,,,,
1,0.01,,,,
15,0.07,,,,
30,0.11,,,,
35,0.12,,,,
42,0.14,,,,
50,0.17,,,,
60,0.21,,,,
65,0.22,,,,
75,0.26,,,,
78,0.27,,,,
80,0.28,,,,
82,0.29,,,,
85,0.32,,,,
90,0.34,,,,
95,0.37,,,,
100,0.38,,,,
242,0.64,,,,
,,,,,
,,,,,
