Temp,SOC,Capacity
25,0,96.4
25,10,92.9
25,30,92.3
25,50,95
25,70,93
25,90,92.7
25,100,96.1
35,0,97
35,10,95.2
35,30,100.8
35,50,96.9
35,70,93.2
35,90,90.3
35,100,90.1
50,0,98.5
50,10,94
50,30,95.1
50,50,88.2
50,70,87.6
50,90,85.9
50,100,85.5
