Set,Kp,Ti,Td,Error
1,9,1,0.01,9.438296
2,9.5,1,0.01,9.830104
3,10,1,0.01,9.801728
4,10,0.8,0.01,9.729318
5,10,0.9,0.01,9.780064
6,10,1,0.01,9.709737
7,10,1.1,0.01,9.701665
8,10,1.2,0.01,9.825225
9,10,1,0.015,9.813508
10,10,1,0.02,9.899356
11,10,1,0.025,9.793738
12,10,1,0.03,9.965471
